YYYY MM DD hh mm DIR SPD GDR GSP GMN
2003 01 02 14 30 25 5.2 999 99.0 99
2003 01 02 14 40 27 4.8 999 99.0 99
2003 01 02 14 50 22 5.3 999 99.0 99
2003 01 02 15 00 22 5.6 20 6.2 53
2003 01 02 15 10 30 5.5 999 99.0 99
2003 01 02 15 20 35 5.2 999 99.0 99
2003 01 02 15 30 34 5.4 999 99.0 99
2003 01 02 15 40 35 5.4 999 99.0 99
2003 01 02 15 50 36 5.0 999 99.0 99
2003 01 02 16 00 39 4.8 39 6.0 20
2003 01 02 16 10 33 4.3 999 99.0 99
2003 01 02 16 20 27 4.1 999 99.0 99
2003 01 02 16 30 31 3.7 999 99.0 99
2003 01 02 16 40 34 3.3 999 99.0 99
2003 01 02 16 50 58 2.5 999 99.0 99
2003 01 02 17 00 64 2.4 36 4.8 6
2003 01 02 17 10 62 2.2 999 99.0 99
2003 01 02 17 20 66 2.3 999 99.0 99
2003 01 02 17 30 68 2.5 999 99.0 99
2003 01 02 17 40 71 2.3 999 99.0 99
2003 01 02 17 50 64 2.2 999 99.0 99
2003 01 02 18 00 51 2.2 67 2.8 28
2003 01 02 18 10 52 2.1 999 99.0 99
2003 01 02 18 20 50 2.1 999 99.0 99
2003 01 02 18 30 40 2.5 999 99.0 99
2003 01 02 18 40 22 2.3 999 99.0 99
2003 01 02 18 50 30 2.2 999 99.0 99
2003 01 02 19 00 22 2.4 43 3.0 29
2003 01 02 19 10 19 2.4 999 99.0 99
2003 01 02 19 20 20 2.3 999 99.0 99
2003 01 02 19 30 17 2.3 999 99.0 99
2003 01 02 19 40 19 2.4 999 99.0 99
2003 01 02 19 50 26 2.2 999 99.0 99
2003 01 02 20 00 21 1.8 22 2.7 5
2003 01 02 20 10 26 2.0 999 99.0 99
2003 01 02 20 20 29 1.9 999 99.0 99
2003 01 02 20 30 27 1.3 999 99.0 99
2003 01 02 20 40 49 1.1 999 99.0 99
2003 01 02 20 50 46 1.2 999 99.0 99
2003 01 02 21 00 55 1.5 54 2.5 10
2003 01 02 21 10 55 1.5 999 99.0 99
2003 01 02 21 20 55 1.2 999 99.0 99
2003 01 02 21 30 39 0.7 999 99.0 99
2003 01 02 21 40 30 0.5 999 99.0 99
2003 01 02 21 50 13 0.5 999 99.0 99
2003 01 02 22 00 358 0.4 77 2.1 10
2003 01 02 22 10 348 0.6 999 99.0 99
2003 01 02 22 20 2 0.5 999 99.0 99
2003 01 02 22 30 12 0.3 999 99.0 99
2003 01 02 22 40 13 0.4 999 99.0 99
2003 01 02 22 50 14 0.4 999 99.0 99
2003 01 02 23 00 38 0.5 68 1.8 56
2003 01 02 23 10 26 0.9 999 99.0 99
2003 01 02 23 20 20 0.8 999 99.0 99
2003 01 02 23 30 25 0.8 999 99.0 99
2003 01 02 23 40 23 0.8 999 99.0 99
2003 01 02 23 50 357 0.9 999 99.0 99
2003 01 03 00 00 2 1.4 68 2.1 0
2003 01 03 00 10 8 0.8 999 99.0 99
2003 01 03 00 20 9 0.7 999 99.0 99
2003 01 03 00 30 10 1.2 999 99.0 99
2003 01 03 00 40 20 1.5 999 99.0 99
2003 01 03 00 50 20 2.0 999 99.0 99
2003 01 03 01 00 15 2.0 25 2.3 48
2003 01 03 01 10 1 1.2 999 99.0 99
2003 01 03 01 20 351 0.9 999 99.0 99
2003 01 03 01 30 355 0.4 999 99.0 99
2003 01 03 01 40 350 0.5 999 99.0 99
2003 01 03 01 50 341 0.6 999 99.0 99
2003 01 03 02 00 339 1.0 9 1.6 0
2003 01 03 02 10 334 1.4 999 99.0 99
2003 01 03 02 20 198 1.7 999 99.0 99
2003 01 03 02 30 223 0.8 999 99.0 99
2003 01 03 02 40 224 0.9 999 99.0 99
2003 01 03 02 50 278 0.6 999 99.0 99
2003 01 03 03 00 302 0.9 170 3.0 15
2003 01 03 03 10 303 1.1 999 99.0 99
2003 01 03 03 20 291 1.2 999 99.0 99
2003 01 03 03 30 314 1.3 999 99.0 99
2003 01 03 03 40 319 1.0 999 99.0 99
2003 01 03 03 50 316 1.2 999 99.0 99
2003 01 03 04 00 307 1.3 308 1.5 57
2003 01 03 04 10 293 1.1 999 99.0 99
2003 01 03 04 20 275 0.7 999 99.0 99
2003 01 03 04 30 155 1.0 999 99.0 99
2003 01 03 04 40 178 1.4 999 99.0 99
2003 01 03 04 50 188 1.3 999 99.0 99
2003 01 03 05 00 197 1.2 175 2.1 19
2003 01 03 05 10 205 1.2 999 99.0 99
2003 01 03 05 20 166 1.3 999 99.0 99
2003 01 03 05 30 150 1.4 999 99.0 99
2003 01 03 05 40 163 0.7 999 99.0 99
2003 01 03 05 50 247 1.0 999 99.0 99
2003 01 03 06 00 226 0.2 289 2.2 45
2003 01 03 06 10 207 0.1 999 99.0 99
2003 01 03 06 20 258 0.7 999 99.0 99
2003 01 03 06 30 289 1.9 999 99.0 99
2003 01 03 06 40 304 2.5 999 99.0 99
2003 01 03 06 50 298 3.1 999 99.0 99
2003 01 03 07 00 307 3.5 302 3.8 53
2003 01 03 07 10 313 3.3 999 99.0 99
2003 01 03 07 20 310 3.5 999 99.0 99
2003 01 03 07 30 313 4.3 999 99.0 99
2003 01 03 07 40 327 5.0 999 99.0 99
2003 01 03 07 50 311 2.9 999 99.0 99
2003 01 03 08 00 308 4.3 322 6.2 35
2003 01 03 08 10 299 6.0 999 99.0 99
2003 01 03 08 20 323 10.1 999 99.0 99
2003 01 03 08 30 327 11.1 999 99.0 99
2003 01 03 08 40 324 11.4 999 99.0 99
2003 01 03 08 50 338 10.8 999 99.0 99
2003 01 03 09 00 325 12.4 319 19.3 14
2003 01 03 09 10 321 12.5 999 99.0 99
2003 01 03 09 20 319 11.5 999 99.0 99
2003 01 03 09 30 310 10.2 999 99.0 99
2003 01 03 09 40 314 9.5 999 99.0 99
2003 01 03 09 50 315 8.5 999 99.0 99
2003 01 03 10 00 321 6.6 323 14.8 4
2003 01 03 10 10 324 5.6 999 99.0 99
2003 01 03 10 20 340 3.6 999 99.0 99
2003 01 03 10 30 347 2.0 999 99.0 99
2003 01 03 10 40 341 0.3 999 99.0 99
2003 01 03 10 50 360 0.5 999 99.0 99
2003 01 03 11 00 355 0.4 320 7.5 1
2003 01 03 11 10 59 2.0 999 99.0 99
2003 01 03 11 20 93 4.8 999 99.0 99
2003 01 03 11 30 99 6.3 999 99.0 99
2003 01 03 11 40 126 6.6 999 99.0 99
2003 01 03 11 50 158 5.9 999 99.0 99
2003 01 03 12 00 175 6.1 116 8.3 32
2003 01 03 12 10 171 6.9 999 99.0 99
2003 01 03 12 20 175 7.6 999 99.0 99
2003 01 03 12 30 201 6.2 999 99.0 99
2003 01 03 12 40 218 6.2 999 99.0 99
2003 01 03 12 50 253 7.3 999 99.0 99
2003 01 03 13 00 264 7.5 258 9.3 55
2003 01 03 13 10 255 6.1 999 99.0 99
2003 01 03 13 20 264 5.8 999 99.0 99
2003 01 03 13 30 255 5.4 999 99.0 99
2003 01 03 13 40 254 5.0 999 99.0 99
2003 01 03 13 50 252 4.4 999 99.0 99
2003 01 03 14 00 249 4.8 264 8.6 0
2003 01 03 14 10 259 5.3 999 99.0 99
2003 01 03 14 20 266 4.9 999 99.0 99
2003 01 03 14 30 279 4.5 999 99.0 99
2003 01 03 14 40 286 4.3 999 99.0 99
2003 01 03 14 50 294 6.6 999 99.0 99
2003 01 03 15 00 297 6.9 299 8.0 50
2003 01 03 15 10 306 7.5 999 99.0 99
2003 01 03 15 20 311 7.8 999 99.0 99
2003 01 03 15 30 304 7.8 999 99.0 99
2003 01 03 15 40 306 8.5 999 99.0 99
2003 01 03 15 50 306 6.9 999 99.0 99
2003 01 03 16 00 306 6.1 304 10.1 36
2003 01 03 16 10 303 6.0 999 99.0 99
2003 01 03 16 20 307 5.8 999 99.0 99
2003 01 03 16 30 298 6.2 999 99.0 99
2003 01 03 16 40 289 5.6 999 99.0 99
2003 01 03 16 50 279 5.5 999 99.0 99
2003 01 03 17 00 277 5.9 311 7.4 9
2003 01 03 17 10 278 6.4 999 99.0 99
2003 01 03 17 20 284 8.2 999 99.0 99
2003 01 03 17 30 300 9.7 999 99.0 99
2003 01 03 17 40 306 8.3 999 99.0 99
2003 01 03 17 50 303 8.8 999 99.0 99
2003 01 03 18 00 306 8.8 302 11.5 25
2003 01 03 18 10 302 8.8 999 99.0 99
2003 01 03 18 20 305 8.9 999 99.0 99
2003 01 03 18 30 302 8.8 999 99.0 99
2003 01 03 18 40 307 9.1 999 99.0 99
2003 01 03 18 50 308 8.6 999 99.0 99
2003 01 03 19 00 310 8.5 306 11.2 0
2003 01 03 19 10 318 8.6 999 99.0 99
2003 01 03 19 20 324 7.6 999 99.0 99
2003 01 03 19 30 326 7.6 999 99.0 99
2003 01 03 19 40 326 6.9 999 99.0 99
2003 01 03 19 50 326 7.2 999 99.0 99
2003 01 03 20 00 321 8.5 320 10.5 6
2003 01 03 20 10 320 7.3 999 99.0 99
2003 01 03 20 20 317 7.3 999 99.0 99
2003 01 03 20 30 331 8.4 999 99.0 99
2003 01 03 20 40 338 8.2 999 99.0 99
2003 01 03 20 50 333 7.3 999 99.0 99
2003 01 03 21 00 321 6.7 323 10.6 27
2003 01 03 21 10 329 6.2 999 99.0 99
2003 01 03 21 20 325 8.1 999 99.0 99
2003 01 03 21 30 323 8.4 999 99.0 99
2003 01 03 21 40 316 8.5 999 99.0 99
2003 01 03 21 50 322 8.6 999 99.0 99
2003 01 03 22 00 324 8.5 324 10.4 17
2003 01 03 22 10 319 9.1 999 99.0 99
2003 01 03 22 20 319 8.2 999 99.0 99
2003 01 03 22 30 327 7.6 999 99.0 99
2003 01 03 22 40 327 8.3 999 99.0 99
2003 01 03 22 50 337 9.2 999 99.0 99
2003 01 03 23 00 335 8.9 342 11.0 44
2003 01 03 23 10 327 8.0 999 99.0 99
2003 01 03 23 20 339 7.6 999 99.0 99
2003 01 03 23 30 332 7.6 999 99.0 99
2003 01 03 23 40 328 7.1 999 99.0 99
2003 01 03 23 50 328 6.2 999 99.0 99
2003 01 04 00 00 326 6.0 326 9.4 1
